species,slowWaveSleep,dreamSleep,sleep,body,brain,life,gestation,is_predation_1,is_predation_2,is_predation_3,is_predation_4,is_sleepExposure_1,is_sleepExposure_2,is_sleepExposure_3,is_sleepExposure_4,is_danger_1,is_danger_2,is_danger_3,is_danger_4
African_elephant,NA,NA,3.3,6654,5712,38.6,645,0,0,1,0,0,0,0,0,0,0,1,0
African_giant_pouched_rat,6.3,2,8.3,1,6.6,4.5,42,0,0,1,0,1,0,0,0,0,0,1,0
Arctic_Fox,NA,NA,12.5,3.385,44.5,14,60,1,0,0,0,1,0,0,0,1,0,0,0
Arctic_ground_squirrel,NA,NA,16.5,0.92,5.7,NA,25,0,0,0,0,0,1,0,0,0,0,1,0
Asian_elephant,2.1,1.8,3.9,2547,4603,69,624,0,0,1,0,0,0,0,0,0,0,0,1
Baboon,9.1,0.7,9.8,10.55,179.5,27,180,0,0,0,1,0,0,0,1,0,0,0,1
Big_brown_bat,15.8,3.9,19.7,0.023,0.3,19,35,1,0,0,0,1,0,0,0,1,0,0,0
Brazilian_tapir,5.2,1,6.2,160,169,30.4,392,0,0,0,1,0,0,0,0,0,0,0,1
Cat,10.9,3.6,14.5,3.3,25.6,28,63,1,0,0,0,0,1,0,0,1,0,0,0
Chimpanzee,8.3,1.4,9.7,52.16,440,50,230,1,0,0,0,1,0,0,0,1,0,0,0
Chinchilla,11,1.5,12.5,0.425,6.4,7,112,0,0,0,0,0,0,0,1,0,0,0,1
Cow,3.2,0.7,3.9,465,423,30,281,0,0,0,0,0,0,0,0,0,0,0,0
Desert_hedgehog,7.6,2.7,10.3,0.55,2.4,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0
Donkey,NA,NA,3.1,187.1,419,40,365,0,0,0,0,0,0,0,0,0,0,0,0
Eastern_American_mole,6.3,2.1,8.4,0.075,1.2,3.5,42,1,0,0,0,1,0,0,0,1,0,0,0
Echidna,8.6,0,8.6,3,25,50,28,0,1,0,0,0,1,0,0,0,1,0,0
European_hedgehog,6.6,4.1,10.7,0.785,3.5,6,42,0,1,0,0,0,1,0,0,0,1,0,0
Galago,9.5,1.2,10.7,0.2,5,10.4,120,0,1,0,0,0,1,0,0,0,1,0,0
Genet,4.8,1.3,6.1,1.41,17.5,34,NA,1,0,0,0,0,1,0,0,1,0,0,0
Giant_armadillo,12,6.1,18.1,60,81,7,NA,1,0,0,0,1,0,0,0,1,0,0,0
Giraffe,NA,0.3,NA,529,680,28,400,0,0,0,0,0,0,0,0,0,0,0,0
Goat,3.3,0.5,3.8,27.66,115,20,148,0,0,0,0,0,0,0,0,0,0,0,0
Golden_hamster,11,3.4,14.4,0.12,1,3.9,16,0,0,1,0,1,0,0,0,0,1,0,0
Gorilla,NA,NA,12,207,406,39.3,252,1,0,0,0,0,0,0,1,1,0,0,0
Gray_seal,4.7,1.5,6.2,85,325,41,310,1,0,0,0,0,0,1,0,1,0,0,0
Gray_wolf,NA,NA,13,36.33,119.5,16.2,63,1,0,0,0,1,0,0,0,1,0,0,0
Ground_squirrel,10.4,3.4,13.8,0.101,4,9,28,0,0,0,0,1,0,0,0,0,0,1,0
Guinea_pig,7.4,0.8,8.2,1.04,5.5,7.6,68,0,0,0,0,0,0,1,0,0,0,0,1
