id,value
flare,
flare.1,flare.1.#momlife,2400
flare.1.#giveaway,3600
flare.1.#ad,600
flare.1.#exo,3000
flare.1.#kokobop,600
flare.1.#coindrop,600
flare.1.#football,5400
flare.1.#marketing,1800
flare.1.#success,600
flare.1.#new,600
flare.1.#rohingya,600
flare.1.#delhi,1200
flare.1.#sex,600
flare.1.#amexmarriott,600
flare.1.#pennystocks,600
flare.1.#funny,600
flare.1.#boss,600
flare.1.#got7,3600
flare.1.#진영,600
flare.1.#worship,1200
flare.1.#business,600
flare.1.#lol,600
flare.1.#you,600
flare.2,flare.2.#maga,1200
flare.2.#bts,3000
flare.2.#women,600
flare.2.#fashion,600
flare.2.#xxx,600
flare.2.#uk,600
flare.2.#iot,1800
flare.2.#jesus,1800
flare.2.#btsarmy,9000
flare.2.#funnymemes,600
flare.2.#방탄소년단,1200
flare.2.#taehyung,1200
flare.2.#dress,600
flare.2.#comedy,600
flare.2.#fake,600
flare.3,flare.3.#youtube,1800
flare.3.#amateur,600
flare.3.#india,1200
flare.3.#winning,600
flare.3.#gopackgo,600
flare.3.#hey,600
flare.3.#v,1200
flare.3.#mark,600
flare.3.#universe,600
flare.3.#jimin,1800
flare.3.#producer,600
flare.3.#btc,600
flare.3.#jokes,1200
flare.3.#wannaone,600
flare.3.#워너원,600
flare.3.#private,600
flare.3.#logo,600
flare.3.#science,1200
flare.3.#treason,600
flare.3.#memes,600
flare.3.#meme,600
flare.4,flare.4.#bitcoin,1200
flare.4.#exol,3000
flare.4.#갓새븐,600
flare.4.#youare,3000
flare.4.#bambam,1200
flare.4.#jb,2400
flare.4.#elf,600
flare.4.#time,1800
flare.4.#rip,600
flare.4.#entrepreneurship,600
flare.4.#barcelona,600
flare.4.#trapadrive,1200
flare.4.#selfie,600
flare.4.#2a,600
flare.4.#branding,600
flare.4.#rams,600
flare.5,flare.5.#reality,600
flare.5.#porno,600
flare.5.#blessed,1800
flare.5.#goodmusic,600
flare.5.#viral,600
flare.5.#salvation,1200
flare.5.#hilarious,600
flare.5.#blackpink,600
flare.5.#bangladesh,600
flare.5.#clothes,600
flare.5.#nra,600
flare.5.#nct,600
flare.5.#เป๊กผลิตโชค,600
flare.5.#taeyeon,600
flare.5.#companies,1200
flare.5.#twice,600
flare.5.#phony,600
flare.5.#shoutout,600
flare.5.#graphicdesigner,600
flare.5.#usmc,600
flare.5.#rrbc,4800
flare.5.#zacefron,600
flare.6,flare.6.#harrystyles,600
flare.6.#dagger,600
flare.6.#뷔,600
flare.6.#태형,600
flare.6.#rodgerstickethunt,600
flare.6.#darthvader,600
flare.6.#lukeskywalker,600
flare.6.#chiefs,600
flare.6.#stripthatdown,600
flare.6.#capreps,3000
flare.6.#buyhavanaonitunes,600
flare.6.#suga,600
flare.6.#charlottesville,600
flare.6.#gunviolence,600
flare.6.#mostrequestedlive,600
flare.7,flare.7.#yg,600
flare.7.#raptors,600
flare.7.#funnyshit,600
flare.7.#아이콘,600
flare.7.#playoff,1800
flare.7.#btsbestnewpop,600
flare.7.#netneutrality,600
flare.7.#worldseries,600
flare.7.#taken,600
flare.7.#openenrollment,600
flare.7.#funnypictures,600
flare.7.#emabiggestfansjustinbieber,600
flare.7.#王嘉爾,600
flare.7.#scrypt,600
flare.7.#theskimm,600
flare.7.#aleague,2400
flare.7.#jenniferlawrence,600
flare.8,flare.8.#王様のブランチ,600
flare.8.#新テーマソング,600
flare.8.#西野カナ,600
flare.8.#カナやん,600
flare.8.#スタッフ,600
flare.8.#melbournevictory,1800
flare.8.#aestheticbwiiminiga,600
flare.8.#we_can_do_it_exol,600
flare.8.#vote_bts_mwave,600
flare.8.#bts_mwave_gogo,600
flare.8.#peckpalitchoke,600
flare.8.#mwave_vote_bts,600
flare.8.#잘생겼다_박지민_귀엽다_박지민,600
flare.8.#plz_vote_for_bts,600
flare.9,flare.9.#millsgotskills,600
flare.9.#gabberhubdotcomgain,600
flare.9.#vote_bts_24hrs_left,600
flare.9.#bts_mwave_final,600
flare.9.#seungyoon,600
flare.9.#cryptos,600
flare.9.#thankyoukdiamonds,600
flare.9.#louistomlinson,600
flare.9.#dem4wrightboyz,600
flare.9.#twinitinc,600
flare.9.#mysex,600
flare.9.#sistersex,600
flare.9.#3some,600
flare.9.#bts_mama_vote,600
flare.9.#유겸,600
flare.9.#riseagain,600
flare.9.#hbddarlingprabhas,600
flare.9.#sundance,600
flare.9.#100degrees,600
flare.9.#モノクロ,600
flare.9.#alertthedaycarestaff,600
flare.9.#faithfulmenofla,1800
flare.10,flare.10.#equihash,600
flare.10.#potcoin,600
flare.10.#gogo_ph_armys,600
flare.10.#foxes,600
flare.10.#skimmlife,600
flare.10.#bellletstalk,600
flare.10.#lbry,600
flare.10.#goptaxscam,600
flare.10.#jarrydhayne,1800
flare.10.#bitcoininchina,600
flare.10.#pakvnz,600
flare.10.#comprehensivecapricorn,600
flare.10.#westhamvliverpool,600
flare.11,flare.11.#readytoplay,600
flare.11.#불타오르네,600
flare.11.#마마야p드백해,600
flare.11.#마마자니,600
flare.11.#구요_백드피_amam,600
flare.11.#stand_by_bts,600
flare.11.#馬馬핃백요구,600
flare.11.#ineedu_마마_vote,600
flare.11.#cryptoking,600
flare.11.#bts_vote_1107,600
flare.11.#goldenglobes,600
flare.11.#afroxmas,600
flare.11.#lovebts10m,600
flare.11.#마이크드랍,600
flare.11.#아미_멜뮤튭_아이하니,600
flare.11.#ᄋr미mel믂,600
flare.11.#monstax1stwin,600
flare.12,flare.12.#worldwidehandsomeday,600
flare.12.#season_of_gfriend,600
flare.12.#stream_micdrop,600
flare.12.#didyouseetheremix,600
flare.12.#thankyoubts,600
flare.12.#우리함께라면_사막도바다가돼,600
flare.12.#sha256,600
flare.12.#btsxrockineve,1200
flare.12.#아미_툽_불타오르네,600
flare.12.#indidigital,1200
flare.12.#bp_house,600
flare.12.#블핑하우스1화,600
flare.12.#비밀스포일러,600
flare.12.#사장마음,600
flare.13,flare.13.#할인애교,600
flare.13.#첫방송_2018_01_0,600
flare.13.#beulpinghouseepisode1,600
flare.13.#discountaegyo,600
flare.13.#risingactortaehyung,600
flare.13.#weloveshilpashinde,600
flare.13.#beenthrough,600
flare.13.#dukeofsutherland,600
flare.13.#princephilip,600
flare.13.#removenunes,600
flare.13.#wepurpleutaehyung,600
flare.14,flare.14.#chicandsexyjbday,600
flare.14.#새해건강맨날하자,600
flare.14.#복많이숑숑,600
flare.14.#2018년도순삭해,600
flare.14.#spartandawgs,600
flare.14.#btsoutcastd5,600
flare.14.#bestfanarmy,10200
flare.14.#iheartawards,11400
flare.14.#32ndgoldendiscawards,600
flare.14.#bestboyband,5400
flare.14.#bestsolobreakout,600
flare.14.#방탄소년단_대상_축하해,600
flare.14.#cottonsugaga,600
flare.14.#아미가_방탄의_힘이돼줄게,600
flare.14.#아미는_방탄없이_못4니까,600
flare.14.#아미_팬미팅밤샘사건_공론화,600
flare.14.#우함사바_아이하트,600
flare.15,flare.15.#방탄은_아미의_빛나는_기억구름,600
flare.15.#releasethememo,600
flare.15.#schumershutdown,600
flare.15.#weknowitisawfuljustreleasethebleepingmessagenow,600
flare.15.#teletubbies,600
flare.15.#thankyoujimin,600
flare.15.#twitterbestfandom,2400
flare.15.#방탄_서가대대상_축하해,600
flare.15.#ขอขอบคุณ,600
flare.15.#joekennedy,600
flare.15.#polymerbazaar,1200
flare.15.#iranplast17,600
flare.15.#1yearofspringday,600
flare.15.#xoxoteam,600
flare.15.#whereishoseok,600
flare.15.#가_온_수상자_無언급,600
flare.15.#cryptoland,600
flare.15.#goldenhobiday,600
