Machine,Date,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,result
M040_A1,2015/5/31,11,7850.549029,9407.843667,,,,,,,,,,,,,1,,,2168,36.16993214,582.0493464,,,,2,54422.70192,0,3,16168.21438,9669.400355,,,,,,,,,,,,,6,10884.6196,21768.84345,15,5384.429183,8686.993834,,,,4910,17.18093056,179.3704827,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/3,,,,,,,,,,,,,,,,,,,336,39.06811358,518.6425043,,,,,,,,,,,,,,,,,,,,,,,,,2,0.084161,0,,,,2,240.980366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/4,,,,,,,,,,,,,,,,,,,860,116.2305072,667.5101089,,,,5,13321.84033,15517.51193,3,10761.42351,2622.568843,,,,,,,1,,,,,,35,1712.231935,5094.140152,45,1964.509152,4721.077744,,,,372,231.7887408,737.6619986,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/5,,,,,,,,,,,,,,,,1,,,3431,50.14767955,489.2731511,,,,13,11009.26246,14564.57363,9,17724.28775,13912.76443,,,,,,,3,57351.64744,56327.28929,,,,81,1715.634434,4231.365848,82,2127.130568,4429.82739,,,,731,236.3157788,761.9450208,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/6,6,8193.566607,16356.35831,,,,,,,,,,,,,2,105096.3513,0,4753,35.26273174,381.8205941,,,,29,5522.663265,10715.88453,33,4994.632282,8758.845972,,,,,,,2,1024.358141,0,,,,154,1086.453012,3600.108155,189,878.2424969,2892.275215,,,,659,261.3416491,901.2616276,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/7,6,8193.566607,16356.35831,,,,,,,,,,,,,1,,,3515,48.00658456,472.6907688,,,,23,6649.631309,12799.42062,27,2999.76723,6683.949763,,,,,,,,,,,,,116,1292.330226,5775.099176,155,1105.797244,6192.074238,,,,682,251.6889583,850.6649605,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/8,,,,,,,,,,,,,,,,,,,3823,43.33668936,391.7288046,,,,4,35076.94806,7729.204567,,,,,,,,,,,,,,,,16,7015.416055,13054.51914,36,2998.146084,3918.692272,,,,891,191.563979,561.4983792,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/9,1,,,,,,,,,,,,,,,,,,5095,33.87014977,276.0566416,,,,5,29877.88445,4839.886936,2,18750.86544,0,,,,,,,,,,,,,19,6639.551881,11289.89675,45,3681.357866,6293.027093,,,,952,179.5557862,467.6039351,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/10,1,,,,,,,,,,,,,,,9,2187.942651,3451.578381,5408,31.88938672,271.4577727,,,,5,35672.87521,8968.467304,2,18750.86544,0,,,,,,,,,,1,,,20,7629.276877,13032.98977,24,7275.249924,11147.24903,,,,974,174.7626317,396.8123528,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/11,3,21233.0542,19248.46247,,,,,,,,,,,,,21,5133.718773,6316.345767,4006,42.92724718,357.6105555,,,,2,44813.70449,0,2,48.507894,0,,,,,,,1,,,1,,,10,16302.42427,30672.62628,23,4737.815238,6854.16045,,,,896,190.1765901,507.0379052,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/12,4,29683.8339,19744.20319,,,,,,,,,,,,,45,3444.393233,5640.849998,3727,44.87892399,353.1008666,,,,5,12536.85061,21649.51138,6,30139.66718,48867.43467,,,,,,,1,,,,,,17,6018.117541,12519.34172,33,5130.140317,12547.45403,,,,985,173.9417111,564.1274785,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/13,2,72404.66118,0,1,,,,,,,,,,,,44,2720.631305,4891.864923,4469,38.19338167,194.58283,,,,5,12536.85061,21649.51138,17,7054.115951,9931.974299,,,,,,,,,,,,,21,6831.18009,11200.10142,78,1825.628367,4588.597965,,,,2007,85.72668309,309.6980048,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/14,1,,,1,,,,,,,,,,,,11,3341.081469,3172.542058,3857,44.72495825,366.8802887,,,,2,41467.29322,0,15,6539.128383,10051.29618,,,,1,,,,,,,,,15,11982.93788,15097.95654,73,2306.38494,5126.176079,,,,1711,88.06739358,745.9300873,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/15,,,,,,,,,,,,,,,,,,,2750,62.43839066,472.2884423,,,,4,40021.66152,5294.460976,2,13.099073,0,,,,1,,,,,,,,,24,6525.939227,10942.17482,22,6422.551344,9397.588759,,,,350,441.1377534,2945.917704,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/16,,,,,,,,,,,,,,,,,,,3459,49.18251764,564.3212135,,,,3,69093.20005,23431.99733,2,38167.81605,0,,,,,,,2,796.076608,0,,,,26,6566.055464,10823.24521,19,8442.021122,15865.13311,,,,32,4270.34087,12377.14146,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/17,1,,,,,,,,,,,,,,,,,,6168,27.97888237,420.2130041,,,,5,23546.30892,16314.4011,5,29408.91947,18750.04044,1,,,,,,2,796.076608,0,,,,51,2692.341654,4097.800056,40,3639.133308,7200.194892,,,,6,18520.13297,22516.31864,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/18,2,43342.62009,0,,,,,,,,,,,,,,,,6296,26.99036554,221.2372698,,,,6,27806.47739,16946.99143,4,20437.59938,13858.24586,1,,,,,,,,,,,,51,2934.565789,4542.980302,48,3256.064457,4421.641771,,,,3,28974.3057,14608.50541,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/19,1,,,,,,,,,,,,,,,,,,5060,34.00995034,260.5017803,,,,4,39330.98897,8792.925864,4,28470.71837,40203.44685,,,,,,,,,,1,,,26,6512.927517,7279.656016,37,4000.242856,6145.131399,,,,3,79295.85694,41226.56469,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/20,,,,,,,,,,,,,,,,,,,4568,37.19103735,364.4791788,,,,4,42680.82003,6402.888648,4,45771.75812,64670.80805,,,,,,,,,,1,,,32,4595.719368,7195.781732,32,4880.595169,7474.085132,,,,6,21904.16349,9412.109308,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/21,,,,1,,,,,,,,,,,,,,,4085,40.82714682,506.6869915,,,,2,43795.15105,0,6,21066.25164,21512.04364,,,,,,,,,,,,,32,5102.432498,12535.79368,43,3865.721107,8313.557115,,,,7,23127.70933,16145.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/22,,,,1,,,,,,,,,,,,,,,4375,39.0037757,442.6674171,,,,1,,,5,18684.82427,23454.29695,,,,,,,,,,,,,18,8118.055928,18017.35433,32,4740.739425,12147.22717,,,,3,21207.17282,16670.28146,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/23,1,,,,,,,,,,,,,,,,,,4167,40.32936944,391.5232215,,,,2,65323.42584,0,,,,,,,,,,,,,,,,11,12223.98534,15102.36875,11,10339.58666,10525.42452,,,,2,3781.869523,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/24,1,,,,,,,,,,,,,,,,,,3987,42.35628742,421.3821305,,,,4,36481.72009,11943.69184,3,34463.84521,34414.73873,,,,,,,1,,,,,,38,4282.895553,9753.124298,18,9895.368861,18875.23588,,,,17,8517.095242,16779.44585,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/25,1,,,,,,,,,,,,,,,,,,3719,45.58452975,754.3319547,,,,4,48805.28721,24899.19129,7,19250.53764,27099.27038,,,,,,,1,,,,,,35,4931.73916,13988.49333,63,2502.960726,10105.18162,,,,16,8234.230051,15844.54733,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/26,1,,,,,,,,,,,,,,,,,,3656,36.56051489,203.3625377,,,,3,48481.29221,1852.973875,5,32900.34163,55132.77141,,,,,,,2,173.050929,0,,,,14,7458.690804,10322.35943,66,2024.897538,5842.511488,,,,266,499.2304121,3849.698201,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/27,2,13205.26373,0,1,,,,,,,,,,,,,,,4262,40.44846493,224.1676246,,,,6,15184.68066,19376.53681,7,9491.469534,9966.81328,,,,,,,9,8953.645691,12428.81206,,,,27,4766.15099,8438.421338,52,3278.870808,6967.630322,,,,890,180.3546957,830.6606009,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/28,3,77182.42987,63977.16614,1,,,,,,,,,,,,,,,3401,47.77292599,258.064851,,,,7,22197.15369,25038.84204,6,6489.347052,8070.217095,,,,,,,7,7069.892861,11061.05469,,,,39,3999.870435,8485.230201,41,3794.345203,8804.095513,,,,965,166.7988041,471.7264191,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/29,4,31151.99015,19631.76703,,,,,,,,,,,,,,,,4186,40.46808369,421.3885454,,,,4,31543.4231,8937.217761,1,,,,,,,,,,,,,,,44,2979.734717,5306.949101,14,9555.441061,11706.987,,,,637,267.1242533,904.4830026,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/30,19,7362.377671,14379.78526,,,,,,,,,,,,,,,,5105,33.34303112,385.3085375,,,,4,52191.70828,28015.88983,23,6975.978598,20969.12472,,,,,,,,,,,,,51,3366.448552,9671.580599,94,1751.163434,6208.377699,,,,706,239.050697,677.5897157,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/7/1,16,3437.721825,8722.959155,,,,,,,,,,,,,,,,5526,31.23320018,272.1991675,,,,4,40130.39738,14313.66646,24,6384.47019,18935.56612,,,,,,,,,,,,,45,3682.070009,8421.628164,99,1597.32515,5532.171496,,,,916,186.9227275,546.0151992,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/7/2,1,,,,,,,,,,,,,,,,,,6133,27.80120263,215.4245421,,,,5,31382.90671,16552.51875,6,4558.340176,7669.21367,,,,,,,22,187.2388511,145.16327,,,,57,2998.785998,8036.810778,31,5346.422047,7407.297368,,,,958,178.4916882,506.1193344,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/7/3,1,,,,,,,,,,,,,,,,,,5153,33.46780093,292.5127264,,,,6,30257.75283,14500.1903,5,31197.94874,53540.59297,,,,,,,23,5682.062027,25180.84254,,,,65,2501.540747,6652.18965,20,6568.320882,11533.9984,,,,894,190.128227,501.3871412,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/7/4,,,,,,,,,,,,,,,,,,,4082,41.98918555,386.0355976,,,,3,40318.14133,3317.823741,3,43430.67249,36383.05878,,,,,,,1,,,,,,33,4540.815728,10178.21241,35,3768.414067,8523.870048,,,,809,213.5213763,629.4702471,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/7/5,2,6382.635256,0,,,,,,,,,,,,,1,,,4033,39.81484152,359.9325641,,,,3,68745.50636,18641.78016,5,28554.142,34682.70095,,,,,,,1,,,,,,28,5299.743118,10253.47871,44,3553.756279,6831.569222,,,,894,193.325541,616.6792815,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/7/6,2,6382.635256,0,,,,,,,,,,,,,1,,,4300,39.00615237,412.1704978,,,,4,44480.85533,6151.278647,8,15769.679,19526.68458,,,,,,,1,,,,,,33,4567.744006,9452.427175,49,3192.053976,7839.019676,,,,2541,62.91956964,773.1212905,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/7/7,4,78.03235733,75.27410607,,,,,,,,,,,,,,,,3236,51.83891621,570.7539171,1,,,7,24555.20759,21770.31637,17,10039.90201,16321.27076,,,,,,,,,,,,,94,1796.521379,6961.074701,115,1423.667812,5571.500334,,,,2015,60.0725246,1333.99171,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/7/8,4,78.03235733,75.27410607,,,,,,,,,,,,,,,,5045,33.58501941,385.3760467,1,,,9,16531.01968,11589.51059,16,7810.772866,14142.47242,,,,,,,,,,,,,310,471.1650516,1128.259129,107,1108.064101,3991.213658,,,,6,25033.76319,26911.57847,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
