Machine,Date,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd
M066_A1,2015/5/23,,,,1,,,,,,,,,,,,,,,11345,29.63050388,444.0493679,,,,19,18661.94172,17301.14958,16,17154.52023,24780.59175,2,167876.4149,0,2,27200.89977,0,,,,,,,115,2946.625868,8984.843773,128,2422.711829,5644.233617,14,588.9300812,1774.165715,7717,42.65512548,542.6772688,,,,,,,20,10253.01456,9152.063878,,,,,,,,,,,,,,,,,,
M066_A1,2015/5/24,,,,1,,,,,,,,,,,,,,,11036,31.04135522,422.6997656,,,,20,16081.98547,16201.10027,24,13733.95479,20723.03531,1,,,2,27200.89977,0,,,,,,,124,2609.555635,7884.444145,204,1647.380774,4240.35542,14,588.9300812,1774.165715,8093,42.47701179,318.5281069,,,,,,,25,12871.79439,22434.77389,,,,,,,,,,,,,,,,,,
M066_A1,2015/5/25,,,,,,,,,,,,,,,,1,,,9576,34.69898875,420.4325918,,,,23,14002.20302,16129.43543,45,6769.317759,14749.57837,1,,,2,8.830428,0,,,,,,,147,2109.923709,6579.599167,302,1048.254004,3137.72491,,,,5501,62.49930609,492.741308,,,,,,,26,12620.97818,22089.49012,,,,,,,,,,,,,,,,,,
M066_A1,2015/5/26,,,,3,6396.011831,6353.725844,,,,,,,,,,1,,,9904,34.83654903,386.6065674,,,,19,16999.09908,15225.99399,76,4059.36546,10788.4385,,,,2,8.830428,0,,,,7,4123.924897,2200.706495,113,2735.119584,6869.478359,414,829.301974,2829.102714,,,,5004,66.06256532,635.3123173,,,,,,,18,14173.61083,26026.20447,,,,,,,,,,,,,,,,,,
M066_A1,2015/5/27,17,3221.41952,10070.40386,3,6396.011831,6353.725844,,,,,,,,,,2,182660.9513,0,9670,35.31068089,321.6993461,,,,25,13880.93756,13993.47027,119,2699.526309,5412.057653,1,,,2,8.830428,0,1,,,12,11305.78646,10577.62429,123,2743.966862,7011.010136,600,556.0751834,1767.541227,,,,3314,101.4067012,921.1544367,,,,,,,17,8043.234385,8989.592086,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/28,17,3221.41952,10070.40386,3,6396.011831,6353.725844,,,,,,,,,,2,182660.9513,0,10076,34.04680615,296.2703358,,,,22,13382.14258,13725.44679,137,2342.83582,4581.383724,1,,,2,8.830428,0,1,,,12,11305.78646,10577.62429,107,2838.106732,6950.407448,715,470.1037221,1588.838786,,,,2075,152.2112172,1534.87083,,,,,,,10,6551.409896,4598.378462,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/29,17,3221.41952,10070.40386,4,87362.08192,114620.7757,,,,,,,,,,1,,,11067,30.48105708,246.3613079,,,,20,17426.21883,19657.9973,114,2349.448092,4494.864179,1,,,,,,3,81346.83324,80978.67811,17,17630.3486,24101.02056,88,3805.730498,9536.191889,610,557.218548,1805.550976,,,,3152,100.9422818,1300.007844,,,,,,,9,6825.875077,5173.439779,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/30,17,3221.41952,10070.40386,1,,,,,,,,,,,,1,,,10885,31.54633138,277.0658665,,,,33,9765.957165,16630.23434,135,2561.48193,8289.510434,2,281120.9295,0,,,,5,59134.53296,62476.47603,16,20818.65671,26693.7591,118,2853.415754,7919.200842,782,439.613541,1470.382248,1,,,1884,180.093574,1955.196779,,,,,,,14,12393.56499,13554.15643,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/31,,,,1,,,,,,,,,,,,,,,9490,36.11289967,639.5505437,,,,25,9842.256967,17762.63564,88,2970.364012,9976.553209,1,,,,,,4,24737.54016,21720.97961,11,13086.16166,17475.68453,85,2984.239505,8551.101693,560,545.8315192,2467.654924,1,,,1806,168.2176711,2362.257762,,,,,,,15,12156.27275,13089.10403,,,,,,,,,,,,,,,,,,
M066_A1,2015/6/1,9,1031.603953,2539.526847,1,,,,,,,,,,,,1,,,9081,37.77412919,667.6458854,,,,38,8629.760345,16729.97105,80,4221.476879,16071.76597,2,139678.2602,0,,,,4,24737.54016,21720.97961,18,19411.97835,29497.40113,133,2452.224109,9475.677325,441,772.1851682,3745.465877,3,119508.4633,119508.1602,1820,173.0077699,2364.600969,,,,,,,17,16826.62497,24594.92169,7,68.08893667,42.10002808,,,,,,,,,,,,,,,
