SPI-H,SPI-A,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
57.3,50.2,-0.5,1.98,1.93,1.99,1.92
78.5,49.2,-1.5,2.24,2.16,1.8,1.73
60,58.7,-1,2.28,2.18,1.76,1.71
64.3,40,-0.5,2,1.95,1.96,1.9
77.6,82.5,-1,2.2,2.09,1.82,1.78
40,67.2,0,1.83,1.78,2.17,2.08
80.5,57.1,-1.5,1.96,1.89,2.06,1.96
62,60.3,0,2.06,1.98,1.92,1.87
52,88.1,0.25,2,1.95,1.96,1.91
54.7,90,1,1.78,1.74,2.24,2.14
50.2,77.6,0.75,2.01,1.95,1.96,1.91
60.3,60,-0.5,1.98,1.92,1.99,1.93
40,40,0,1.8,1.75,2.18,2.12
49.2,62,-0.5,1.95,1.91,2,1.94
82.5,52,-0.75,2.03,1.97,1.93,1.88
58.7,54.7,-0.25,1.96,1.91,2.01,1.94
57.1,64.3,-0.25,1.98,1.92,1.99,1.93
67.2,80.5,0.75,2.01,1.95,1.95,1.91
90,78.5,-0.5,2.12,2.06,1.87,1.81
88.1,57.3,-1,1.76,1.72,2.26,2.17
67.2,50.2,-0.5,1.87,1.83,2.09,2.03
64.3,82.5,0,1.96,1.9,2.01,1.93
77.6,62,-1.25,1.91,1.87,2.04,1.99
40,52,-0.25,2.02,1.97,1.94,1.89
40,49.2,0.5,1.84,1.8,2.14,2.06
57.1,57.3,-0.25,2.08,2.01,1.89,1.84
60,90,0.75,1.96,1.92,1.99,1.93
58.7,60.3,0,1.96,1.91,1.99,1.93
54.7,78.5,0.75,2.11,2.04,1.87,1.82
80.5,88.1,-0.5,1.74,1.7,2.28,2.21
50.2,40,-0.5,1.95,1.89,2.02,1.96
57.3,64.3,-0.25,1.88,1.84,2.08,2.02
78.5,67.2,-1.5,2.12,2.05,1.85,1.81
88.1,57.1,-1.5,2.1,2.02,1.88,1.84
90,58.7,-2,1.95,1.9,2,1.95
62,80.5,1,1.86,1.81,2.12,2.06
52,54.7,-0.5,1.96,1.92,1.99,1.93
82.5,60,-0.5,1.97,1.92,1.98,1.93
60.3,40,-0.5,2.06,2.01,1.9,1.85
49.2,77.6,0.25,2.03,1.98,1.93,1.88
80.5,52,-1.5,1.87,1.8,2.12,2.05
67.2,90,1,1.82,1.78,2.16,2.09
60,78.5,0.5,1.93,1.88,2.03,1.97
77.6,88.1,-0.5,1.96,1.92,2,1.93
40,57.3,-0.25,2.04,1.99,1.91,1.87
58.7,49.2,0,1.95,1.89,2.01,1.95
54.7,60.3,0.25,1.85,1.81,2.12,2.06
64.3,50.2,-0.5,1.89,1.85,2.08,2.01
40,82.5,0.5,2.01,1.95,1.94,1.9
57.1,62,0,1.63,1.58,2.51,2.42
50.2,54.7,-0.25,1.98,1.93,1.98,1.93
57.3,40,-0.75,1.95,1.9,2.01,1.96
78.5,80.5,-0.25,2.11,2.05,1.85,1.82
90,57.1,-1.5,1.77,1.73,2.21,2.17
62,58.7,0,1.81,1.76,2.2,2.11
52,64.3,0,1.77,1.73,2.21,2.15
49.2,60,-0.25,1.98,1.93,1.97,1.92
88.1,40,-1,2.26,2.16,1.77,1.73
60.3,77.6,0,2.26,2.17,1.76,1.72
82.5,67.2,-0.5,2.02,1.97,1.94,1.89
64.3,80.5,0.5,2.13,2.07,1.85,1.8
88.1,50.2,-1,1.93,1.89,2.02,1.98
77.6,40,-2,2.17,2.11,1.81,1.78
62,78.5,0.75,2.14,2.08,1.84,1.8
60.3,49.2,-0.5,2.05,2,1.92,1.86
52,57.3,0,1.81,1.76,2.2,2.11
82.5,90,0.5,1.98,1.94,1.96,1.92
57.1,40,-0.5,2.26,2.19,1.75,1.72
58.7,67.2,0,1.78,1.75,2.21,2.13
54.7,60,0,2.17,2.1,1.82,1.77
50.2,52,-0.25,2.16,2.1,1.82,1.78
57.3,58.7,-0.5,2.13,2.08,1.85,1.79
78.5,60.3,-0.75,2.12,2.05,1.9,1.82
67.2,54.7,-0.75,2.11,2.05,1.87,1.82
90,62,-2,2.12,2.02,1.9,1.84
40,64.3,-0.5,2.3,2.23,1.74,1.7
40,57.1,0.25,1.86,1.83,2.1,2.03
80.5,77.6,-0.5,2.06,2,1.91,1.86
60,88.1,0,1.97,1.89,2.01,1.96
49.2,82.5,0,1.95,1.9,2.01,1.94
78.5,50.2,-1.5,2.06,1.99,1.9,1.87
67.2,57.1,-0.5,2.02,1.96,1.93,1.89
60,77.6,0.25,1.88,1.85,2.07,2.01
90,57.3,-1.5,2.02,1.96,1.94,1.89
60.3,64.3,-0.5,1.79,1.74,2.21,2.14
82.5,88.1,0,1.8,1.75,2.2,2.13
58.7,80.5,1,1.91,1.86,2.06,2
54.7,40,-0.5,2.09,2.03,1.86,1.83
62,40,0,1.87,1.83,2.09,2.01
49.2,52,-0.5,2.08,2.01,1.89,1.85
80.5,60,-1.5,2.17,2.12,1.8,1.76
50.2,49.2,0,2.15,2.06,1.85,1.8
64.3,67.2,-0.25,1.92,1.89,2.04,1.98
40,54.7,-0.5,2.02,1.97,1.94,1.89
52,58.7,-0.5,2.11,2.06,1.85,1.81
57.1,78.5,0.5,1.94,1.9,2.01,1.96
57.3,82.5,0.25,2.02,1.97,1.93,1.9
88.1,60.3,-0.5,2.08,2.04,1.86,1.83
77.6,90,0,1.89,1.85,2.09,2
40,62,0,1.87,1.81,2.11,2.05
78.5,88.1,-0.5,2.13,2.06,1.86,1.81
67.2,77.6,0.5,1.88,1.82,2.1,2.04
90,40,-1.5,1.89,1.83,2.1,2.03
62,52,-0.25,2.06,2,1.91,1.86
49.2,80.5,0.75,1.99,1.92,2,1.94
58.7,57.1,0,1.84,1.8,2.14,2.06
54.7,64.3,0,2.08,2,1.92,1.84
60,40,-1,1.84,1.78,2.16,2.09
60.3,57.3,-1,1.95,1.9,1.99,1.95
82.5,50.2,-1,1.71,1.67,2.36,2.26
57.3,62,-0.25,1.91,1.88,2.06,1.99
64.3,58.7,-0.5,1.88,1.83,2.09,2.03
77.6,54.7,-1.5,2.08,2.01,1.88,1.85
40,49.2,0,1.79,1.76,2.2,2.11
52,78.5,0.5,1.88,1.83,2.09,2.04
40,60.3,0.75,1.88,1.84,2.12,2.03
57.1,60,0,1.87,1.83,2.09,2.02
80.5,82.5,-0.75,1.89,1.85,2.08,2.02
50.2,90,1.25,1.94,1.88,2.02,1.97
88.1,67.2,-0.75,1.91,1.86,2.06,2
78.5,40,-1.5,2.29,2.23,1.75,1.69
60,50.2,-1,2.07,1.99,1.92,1.88
90,88.1,-0.75,1.86,1.82,2.09,2.05
62,64.3,0,2.07,2.01,1.88,1.84
60.3,52,-1,2.12,2.04,1.87,1.83
49.2,57.3,-0.5,1.92,1.88,2.04,1.98
58.7,77.6,0.75,1.67,1.63,2.44,2.34
54.7,80.5,1,2.05,1.96,1.97,1.91
82.5,57.1,-1,1.99,1.91,2,1.96
67.2,40,-1,2.03,1.93,1.98,1.93
50.2,58.7,-0.25,2.35,2.29,1.69,1.66
57.3,60,0,2.16,2.09,1.82,1.78
67.2,62,-0.75,1.9,1.87,2.05,1.99
64.3,77.6,0.25,1.92,1.88,2.03,1.99
90,60.3,-1,1.98,1.93,2,1.92
40,52,0.25,1.85,1.8,2.13,2.07
88.1,49.2,-1,1.81,1.75,2.23,2.14
40,80.5,1,1.88,1.85,2.09,2.01
82.5,78.5,-0.25,2.23,2.17,1.78,1.73
57.1,54.7,-0.5,2.1,2.04,1.87,1.83
80.5,40,-1.5,1.85,1.79,2.14,2.08
78.5,57.3,-1.25,1.9,1.83,2.09,2.03
77.6,57.1,-1,1.75,1.7,2.26,2.2
60.3,50.2,-1,1.88,1.83,2.09,2.03
52,90,0.75,2.01,1.97,1.94,1.89
49.2,64.3,0,1.98,1.91,2.01,1.94
58.7,40,-0.25,1.88,1.84,2.08,2.02
54.7,82.5,0.5,2.09,2.02,1.87,1.84
62,88.1,1,1.88,1.85,2.08,2.01
60,67.2,-0.25,1.79,1.75,2.18,2.12
57.3,77.6,0.25,1.99,1.94,1.97,1.92
67.2,60.3,0,1.83,1.79,2.15,2.07
90,49.2,-1.5,1.9,1.84,2.08,2.02
40,60,0,2.12,2.07,1.83,1.79
40,58.7,0,2.02,1.98,1.92,1.87
57.1,52,0,1.86,1.82,2.09,2.04
50.2,80.5,1,1.94,1.89,2.03,1.96
88.1,54.7,-1.5,2.38,2.27,1.7,1.67
82.5,62,-1.5,2.1,2.03,1.88,1.83
64.3,78.5,0.25,1.88,1.84,2.07,2.02
78.5,40,-1.5,1.97,1.9,2.01,1.95
60,64.3,-0.5,2.08,2.03,1.89,1.83
77.6,40,-1,1.8,1.75,2.2,2.13
62,50.2,-0.5,2.04,1.99,1.93,1.88
60.3,82.5,0,1.91,1.87,2.04,1.99
52,67.2,-0.25,2.14,2.07,1.84,1.8
54.7,57.3,-0.25,2.25,2.17,2.52,1.76
49.2,57.1,-0.5,2.1,2.05,1.86,1.82
58.7,88.1,0.5,1.96,1.91,2.01,1.94
80.5,90,-0.25,2.08,2.02,1.88,1.84
50.2,57.1,0,1.9,1.86,2.07,1.99
57.3,67.2,-0.25,2.13,2.05,1.86,1.82
78.5,58.7,-1,1.88,1.84,2.1,2.02
88.1,64.3,-0.5,1.96,1.92,1.98,1.94
90,40,-2,1.96,1.92,1.99,1.93
62,60,0.25,2.03,1.96,1.94,1.89
60.3,80.5,0.25,2.1,2.04,1.88,1.83
52,77.6,0.25,1.89,1.86,2.07,2.01
49.2,54.7,-0.5,2,1.95,1.98,1.91
82.5,40,-1,1.74,1.69,2.3,2.23
80.5,57.3,-1.5,2.32,2.22,1.75,1.7
67.2,49.2,-0.25,1.83,1.79,2.17,2.09
60,52,-0.5,1.95,1.91,2.01,1.95
77.6,78.5,0,1.85,1.81,2.12,2.05
40,50.2,-0.5,2.09,2.03,1.89,1.84
58.7,82.5,0.5,1.88,1.82,2.09,2.05
54.7,62,-0.25,1.9,1.85,2.07,2.02
57.1,60.3,0.25,2.01,1.96,1.95,1.9
64.3,90,0.5,2.11,2.05,1.85,1.81
40,88.1,0.5,2.32,2.25,1.74,1.68
80.5,62,-1.5,1.81,1.76,2.18,2.11
64.3,57.3,-0.5,1.94,1.91,2,1.96
77.6,49.2,-1,1.98,1.93,2,1.92
40,60.3,0.25,1.89,1.84,2.08,2.02
40,50.2,-0.25,2.15,2.09,1.83,1.79
58.7,90,0.75,2.02,1.97,1.92,1.89
54.7,52,-0.25,2.4,2.31,1.68,1.64
57.1,88.1,0.5,1.91,1.86,2.05,2
67.2,78.5,0.5,1.9,1.84,2.08,2.02
60,82.5,0.25,1.75,1.7,2.28,2.21
50.2,67.2,0.25,1.84,1.8,2.13,2.07
57.3,57.1,-0.25,1.75,1.71,2.26,2.2
62,77.6,1,1.62,1.59,2.53,2.44
78.5,54.7,-1,1.78,1.73,2.3,2.16
88.1,80.5,-0.25,2.5,2.41,1.64,1.6
90,60,-1,1.85,1.79,2.15,2.08
60.3,58.7,-0.5,2.02,1.97,1.94,1.89
52,40,-0.5,2.04,1.99,1.92,1.87
49.2,40,-0.75,2.04,1.99,1.92,1.87
82.5,64.3,-0.5,1.78,1.74,2.21,2.16
50.2,64.3,0.25,2.08,2.02,1.89,1.85
57.3,40,-0.5,1.9,1.87,2.05,2
78.5,60,-0.75,2.06,2.02,1.88,1.84
90,67.2,-1.5,2.1,2.05,1.88,1.82
62,57.1,-0.25,2.21,2.13,1.8,1.76
60.3,54.7,-0.75,1.98,1.93,1.99,1.93
82.5,40,-1.5,2.05,2,1.92,1.86
88.1,77.6,-0.25,2.01,1.94,1.95,1.92
52,80.5,0.25,2.35,2.24,1.73,1.68
49.2,58.7,-0.25,2.07,2.02,1.88,1.85
67.2,82.5,0.25,2.11,2.04,1.9,1.84
64.3,52,-0.5,2.08,2.02,1.95,1.9
77.6,60.3,-0.5,1.95,1.9,2.02,1.94
40,88.1,0.5,1.96,1.9,2.05,1.98
40,57.3,0,2.17,2.07,1.82,1.76
58.7,62,-0.5,2.1,2.04,1.9,1.82
54.7,50.2,-0.25,1.93,1.84,2.1,1.95
57.1,90,0.75,2.05,1.98,1.95,1.88
80.5,78.5,-0.5,2.21,2.1,1.83,1.75
60,49.2,-0.75,1.99,1.94,2.03,1.93
80.5,60.3,-1,2.48,2.39,1.63,1.6
67.2,57.3,-0.25,2.11,2.05,1.85,1.82
64.3,88.1,0,1.9,1.85,2.06,2
77.6,52,-1,2.3,2.22,1.74,1.69
40,82.5,0.75,1.83,1.79,2.14,2.08
40,90,1,2.21,2.14,1.79,1.74
54.7,49.2,-0.25,2.26,2.2,1.75,1.71
57.1,50.2,-0.75,2.21,2.15,1.77,1.74
60,62,-1,2.2,2.12,1.8,1.76
58.7,78.5,0.5,1.95,1.91,2.01,1.96
50.2,40,-0.25,2.08,2.01,1.89,1.85
88.1,40,-1.5,2.38,2.28,1.68,1.66
90,64.3,-1,2.03,1.99,1.91,1.86
62,54.7,-0.25,1.9,1.83,2.1,2.03
60.3,57.1,-0.75,2,1.93,1.97,1.93
52,60,-0.25,2.3,2.22,1.75,1.7
49.2,67.2,-0.25,1.95,1.9,2.01,1.97
82.5,58.7,-1,1.87,1.82,2.1,2.04
57.3,80.5,0.5,1.86,1.83,2.09,2.04
78.5,77.6,-0.5,2.12,2.08,1.85,1.8
57.3,52,-0.25,1.8,1.76,2.2,2.12
78.5,62,-1,1.74,1.71,2.27,2.2
67.2,58.7,-0.25,1.92,1.87,2.04,1.99
60,54.7,-1,1.9,1.86,2.06,2
40,57.1,-0.25,2.09,2.04,1.88,1.83
40,77.6,1,1.65,1.6,2.52,2.4
49.2,60.3,0.25,1.86,1.82,2.1,2.04
80.5,64.3,-1,2.28,2.21,1.75,1.7
50.2,88.1,0.75,1.82,1.78,2.15,2.09
90,82.5,-0.25,1.81,1.79,2.18,2.09
64.3,40,-1,2,1.92,1.97,1.93
60.3,78.5,0.25,1.75,1.71,2.27,2.2
52,50.2,-1,2.35,2.26,1.7,1.67
58.7,57.3,-0.25,2.09,2.03,1.88,1.83
54.7,67.2,0,1.96,1.91,1.99,1.94
57.1,40,-0.75,2.14,2.09,1.83,1.79
82.5,49.2,-1.5,2.49,2.39,1.65,1.6
77.6,80.5,0.25,1.9,1.86,2.05,2
50.2,60,0.75,1.8,1.76,2.2,2.13
